"Fishbase_name","Order","Family","Standard_length","Max_body_depth","Max_fish_width","Head_depth","Lower_jaw_length","Mouth_width","Min_caudalpeduncle_depth","Min_caudalpeduncle_width","Total_weight","group","highlight"
"Lophiocharon_lithinostomus","Lophiiformes","Antennariidae",1.8685268867682,1.68448629218873,1.42406452541749,1.51295107997249,1.39269695325967,1.17114115102838,1.06220580881971,0.517195897949974,1.57691695596521,"Deep-sea",FALSE
"Lophiodes_caulinaris","Lophiiformes","Lophiidae",2.08771044886063,1.35621713421974,1.80685802951882,1.31910605930978,1.66511173707505,1.78411781646292,0.704150516839799,0.563481085394411,1.91787295519885,"Deep-sea",FALSE
"Lophiodes_reticulatus","Lophiiformes","Lophiidae",2.27378807956752,1.69731654173238,2.06389603812599,1.59659709562646,1.84429074325434,1.97754070594653,1.17580163284828,0.860338006570994,2.5592720678074,"Deep-sea",FALSE
"Lophiodes_spilurus","Lophiiformes","Lophiidae",2.16770123497137,1.59648713373654,1.852845818015,1.55047295710656,1.79358086736816,1.84429074325434,1.02118929906994,0.603144372620182,2.15947695647423,"Deep-sea",FALSE
"Lophius_americanus","Lophiiformes","Lophiidae",2.20690679293086,1.45178643552429,1.94596070357757,1.47085132452612,1.67760695272049,1.85871761486029,0.903089986991944,0.865103974641128,2.14622108881188,"Deep-sea",FALSE
"Lophius_budegassa","Lophiiformes","Lophiidae",2.31439395722196,1.49858620881752,1.92526050951944,1.50174372962799,1.83492909646058,1.90319854704298,0.948412965778601,0.700703717145019,2.37226744409565,"Deep-sea",FALSE
"Lophius_gastrophysus","Lophiiformes","Lophiidae",2.30818010103067,1.53592674139557,2.00599512305469,1.51547644138238,1.78368923634732,1.93038861824432,0.939019776448666,0.746634198937579,2.34484401933712,"Deep-sea",FALSE
"Lophius_litulon","Lophiiformes","Lophiidae",2.3762666358701,1.66558099101795,2.08077074684072,1.69196510276736,1.85949855818778,2.01426845720964,1.0696680969116,0.823474229170301,2.59050746200858,"Deep-sea",FALSE
"Lophius_piscatorius","Lophiiformes","Lophiidae",2.39010456382543,1.48600518636224,2.08098704691089,1.41580772763554,1.93891981224477,2.08098704691089,0.969415912353981,0.650307523131936,2.6219548200449,"Deep-sea",FALSE
"Lophius_vaillanti","Lophiiformes","Lophiidae",2.19089171692217,1.47899913167336,1.86805636182304,1.42143939022005,1.73615737527313,1.85733249643127,0.817565369559781,0.556302500767287,1.98136550907854,"Deep-sea",FALSE
"Lycengraulis_batesii","Clupeiformes","Engraulidae",1.97164688206431,1.26126286879249,0.887054378050957,1.00646604224923,1.2496874278053,0.671172842715083,0.901458321396112,0.0934216851622351,0.94299959336604,"Surface",FALSE
"Lycengraulis_grossidens","Clupeiformes","Engraulidae",2.23383341488443,1.61668552089551,1.15775888604686,1.26007138798507,1.45727618606133,0.851869600729766,1.19645254170339,0.491361693834273,1.70096317815955,"Surface",FALSE
"Lycengraulis_poeyi","Clupeiformes","Engraulidae",2.19584432474728,1.56253076886226,1.17811325231463,1.25815819334079,1.4144719496293,0.888740960682893,1.18440748541232,0.576341350205793,1.61415870950918,"Surface",FALSE
"Lycothrissa_crocodilus","Clupeiformes","Engraulidae",2.20776896973992,1.54381980514266,1.06483221973857,1.25575478664304,1.45316539252586,0.761175813155731,1.08742645703629,0.176091259055681,1.52633927738984,"Surface",FALSE
"Malacosteus_niger","Stomiiformes","Stomiidae",2.20049482173865,1.4945719842302,1.11727129565576,1.26173854735254,1.59692681434297,0.69284691927723,0.64640372622307,0.230448921378274,1.48287358360875,"Deep-sea",FALSE
"Malthopsis_lutea","Lophiiformes","Ogcocephalidae",1.82000430680832,1.12287092286444,1.54567814979203,1.16136800223497,0.879095879500073,1.00945089579869,0.599883072073688,0.383815365980431,0.94101424370557,"Deep-sea",FALSE
"Margrethia_obtusirostra","Stomiiformes","Gonostomatidae",1.75966784468963,1.2437819160938,0.890421018800914,1.10380372095596,1.21138755293686,0.770852011642144,0.812913356642856,0.123851640967086,0.586587304671755,"Deep-sea",FALSE
"Maurolicus_japonicus","Stomiiformes","Sternoptychidae",1.33223641549144,0.698970004336019,0.278753600952829,0.664641975556125,0.699837725867246,0.139879086401236,0.24551266781415,-0.275724130399211,-0.920818753952375,"Deep-sea",FALSE
