"Order","Family","Standard_length","Max_body_depth","Max_fish_width","Head_depth","Lower_jaw_length","Mouth_width","Min_caudalpeduncle_depth","Min_caudalpeduncle_width","Total_weight","group"
"Clupeiformes","Clupeidae",141.98,30.17,17.25,19.4,17.32,3.22,10.02,3.22,37.69,"Surface"
"Clupeiformes","Clupeidae",131.89,45.86,16.51,23.76,17.97,3.3,13.18,3.07,43.7,"Surface"
"Clupeiformes","Clupeidae",159.93,38.9,19,21.63,18.63,3,11.57,3.3,60.7,"Surface"
"Clupeiformes","Clupeidae",125.03,30.83,13.47,17.73,13.97,2.57,9.93,2.73,28.6,"Surface"
"Clupeiformes","Clupeidae",110.9,33.43,12.37,17.6,12.17,2,10.33,2.43,22.6,"Surface"
"Clupeiformes","Clupeidae",114.29,31.88,13.31,17.67,12.7,2.29,9.57,2,23.47,"Surface"
"Clupeiformes","Clupeidae",126.8,41.77,15.87,22.37,14.8,3.13,11.97,3.4,50.17,"Surface"
"Clupeiformes","Clupeidae",121.61,36.01,12.16,19.22,12.92,2.39,10.47,2,25.78,"Surface"
"Clupeiformes","Clupeidae",124.1,29.57,14.9,18.2,16.4,3.1,10.07,2.27,26.37,"Surface"
"Clupeiformes","Clupeidae",138.13,30.2,16.43,19.57,18.5,3.33,9.03,2.93,34.57,"Surface"
"Clupeiformes","Clupeidae",194.61,60.27,26.02,29.85,23.69,9.01,17.67,4.25,142.13,"Surface"
"Clupeiformes","Clupeidae",108.29,30.7,12.3,16.69,12.35,3.26,11.33,2.31,18.1,"Surface"
"Clupeiformes","Clupeidae",102.47,27.77,10.07,18.53,11,1.87,9.1,2.37,14.5,"Surface"
"Clupeiformes","Clupeidae",206.58,45.02,27.82,28.61,29.87,6.93,13.84,4.8,147.77,"Surface"
"Clupeiformes","Clupeidae",27.62,4.2,3,3.35,2.98,0.95,1.94,0.46,0.18,"Surface"
"Perciformes","Scombridae",484.5,114.1,79.3,57.92,63.22,33.67,15.75,12.82,1922,"Surface"
"Perciformes","Scombridae",290,61.8,36.6,36.8,42.5,11.8,8.7,7.5,242.7,"Surface"
"Perciformes","Scombridae",367.33,80.61,55.1,48.7,54.19,22.57,10.97,9.64,6940,"Surface"
"Perciformes","Scombridae",392.33,78.77,56.13,45.07,49.69,18.84,11.7,10.22,2696,"Surface"
